original_job_field,broad_label
Advanced Practice,Healthcare & Life Sciences
Aerospace,"Engineering, Manufacturing & Technology"
Agricultural,"Engineering, Manufacturing & Technology"
Allied Health (Diagnostic),Healthcare & Life Sciences
Allied Health (Therapeutic),Healthcare & Life Sciences
Art Education,"Arts, Media, Education & Public Service"
Asset Management,"Banking, Finance & Audit"
Bank HR,"Consulting, Business & Operations"
Bank Leadership,"Banking, Finance & Audit"
Bank Marketing,"Banking, Finance & Audit"
Bank Operations,"Banking, Finance & Audit"
Bank Technology,"Engineering, Manufacturing & Technology"
Biomedical,"Engineering, Manufacturing & Technology"
Chemical,"Engineering, Manufacturing & Technology"
Civil,"Engineering, Manufacturing & Technology"
Commercial Banking,"Banking, Finance & Audit"
Compliance,"Banking, Finance & Audit"
Computer H/W,"Engineering, Manufacturing & Technology"
Consulting (Internal),"Consulting, Business & Operations"
Corporate Banking,"Banking, Finance & Audit"
Corporate Treasury,"Banking, Finance & Audit"
Craft & Artisanal,"Arts, Media, Education & Public Service"
Dental Care,Healthcare & Life Sciences
Design (Commercial),"Arts, Media, Education & Public Service"
Design (Digital),"Arts, Media, Education & Public Service"
Electrical,"Engineering, Manufacturing & Technology"
Emergency Services,Healthcare & Life Sciences
Energy,"Engineering, Manufacturing & Technology"
Environmental,"Engineering, Manufacturing & Technology"
Fashion & Apparel,"Arts, Media, Education & Public Service"
Financial Advisory,"Banking, Finance & Audit"
Fine Art,"Arts, Media, Education & Public Service"
Freelance / Independent,"Arts, Media, Education & Public Service"
HR (Bank Specific),"Consulting, Business & Operations"
HR Consulting,"Consulting, Business & Operations"
Health Information (HIM/IT),Healthcare & Life Sciences
Healthcare Admin/Mgmt,Healthcare & Life Sciences
Industrial,"Engineering, Manufacturing & Technology"
Internal Audit,"Banking, Finance & Audit"
Investment Banking,"Banking, Finance & Audit"
Laboratory Services,Healthcare & Life Sciences
Literary Arts,"Arts, Media, Education & Public Service"
Management,"Consulting, Business & Operations"
Management Consulting,"Consulting, Business & Operations"
Manufacturing,"Engineering, Manufacturing & Technology"
Marine,"Engineering, Manufacturing & Technology"
Marketing,"Consulting, Business & Operations"
Materials,"Engineering, Manufacturing & Technology"
Mechanical,"Engineering, Manufacturing & Technology"
Media & Production,"Arts, Media, Education & Public Service"
Mental & Behavioral Health,Healthcare & Life Sciences
Museum & Arts Admin,"Arts, Media, Education & Public Service"
Niche: Education,"Arts, Media, Education & Public Service"
Niche: Energy,"Engineering, Manufacturing & Technology"
Niche: Healthcare,Healthcare & Life Sciences
Niche: Legal,"Arts, Media, Education & Public Service"
Niche: Marketing,"Consulting, Business & Operations"
Niche: Non-Profit,"Arts, Media, Education & Public Service"
Niche: Public Sector,"Arts, Media, Education & Public Service"
Niche: Real Estate,"Consulting, Business & Operations"
Niche: Retail,"Consulting, Business & Operations"
Niche: Security,"Engineering, Manufacturing & Technology"
Niche: Supply Chain,"Consulting, Business & Operations"
Niche: Sustainability,"Engineering, Manufacturing & Technology"
Nuclear,"Engineering, Manufacturing & Technology"
Nursing (Registered),Healthcare & Life Sciences
Nursing (Support),Healthcare & Life Sciences
Operations,"Consulting, Business & Operations"
Patient Support Services,Healthcare & Life Sciences
Performing Arts (Film),"Arts, Media, Education & Public Service"
Performing Arts (General),"Arts, Media, Education & Public Service"
Performing Arts (Music),"Arts, Media, Education & Public Service"
Performing Arts (Theatre),"Arts, Media, Education & Public Service"
Petroleum,"Engineering, Manufacturing & Technology"
Pharmacy Services,Healthcare & Life Sciences
Physician Care,Healthcare & Life Sciences
Physician Care (Specialist),Healthcare & Life Sciences
Public Accounting,"Banking, Finance & Audit"
Public Health,Healthcare & Life Sciences
Retail Banking,"Banking, Finance & Audit"
Risk Consulting,"Consulting, Business & Operations"
Risk Management,"Banking, Finance & Audit"
Software,"Engineering, Manufacturing & Technology"
Specialized,"Engineering, Manufacturing & Technology"
Specialized/Alternative,Healthcare & Life Sciences
Strategy Consulting,"Consulting, Business & Operations"
Surgical Services,Healthcare & Life Sciences
Systems Consulting,"Consulting, Business & Operations"
Technology Consulting,"Consulting, Business & Operations"
Veterinary Medicine,Healthcare & Life Sciences
Wealth Management,"Banking, Finance & Audit"
