record_id,text,label,original_job_field,job_title,job_description_clean,key_responsibilities_clean,required_skills_clean,source_row_number,source_url
JD0001,bank teller front-line customer service professional responsible for processing daily financial transactions and addressing basic customer inquiries. process deposits withdrawals and loan payments. balance a cash drawer daily. answer account inquiries and identify referral opportunities. high school diploma. strong cash handling accuracy and customer service skills.,"Banking, Finance & Audit",Retail Banking,Bank Teller,front-line customer service professional responsible for processing daily financial transactions and addressing basic customer inquiries.,process deposits withdrawals and loan payments. balance a cash drawer daily. answer account inquiries and identify referral opportunities.,high school diploma. strong cash handling accuracy and customer service skills.,1,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0002,lead teller a senior teller who processes transactions while also providing oversight coaching and vault management support to the teller line. perform all teller duties. manage and balance the bank vault. coach junior tellers and handle escalated customer issues. 2+ years of teller experience. leadership potential advanced problem-solving and cash vault management skills.,"Banking, Finance & Audit",Retail Banking,Lead Teller,a senior teller who processes transactions while also providing oversight coaching and vault management support to the teller line.,perform all teller duties. manage and balance the bank vault. coach junior tellers and handle escalated customer issues.,2+ years of teller experience. leadership potential advanced problem-solving and cash vault management skills.,2,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0003,personal banker a sales and service professional in a branch responsible for opening new accounts and selling bank products like loans and credit cards. open new checking/savings accounts and cds. consult with customers to identify needs. process consumer loan and credit card applications. meet established sales and referral goals. bachelor s degree preferred. strong sales communication and relationship-building skills.,"Banking, Finance & Audit",Retail Banking,Personal Banker,a sales and service professional in a branch responsible for opening new accounts and selling bank products like loans and credit cards.,open new checking/savings accounts and cds. consult with customers to identify needs. process consumer loan and credit card applications. meet established sales and referral goals.,bachelor s degree preferred. strong sales communication and relationship-building skills.,3,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0004,relationship banker a more advanced personal banker role focused on developing deeper long-term relationships with a portfolio of branch clients. proactively manage and grow a portfolio of consumer clients. provide holistic financial advice. cross-sell a full range of bank products loans investments etc. . bachelor s in finance/business. proven sales record financial acumen and crm skills.,"Banking, Finance & Audit",Retail Banking,Relationship Banker,a more advanced personal banker role focused on developing deeper long-term relationships with a portfolio of branch clients.,proactively manage and grow a portfolio of consumer clients. provide holistic financial advice. cross-sell a full range of bank products loans investments etc. .,bachelor s in finance/business. proven sales record financial acumen and crm skills.,4,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0005,small business banker a specialized banker often located within a branch who focuses exclusively on the needs of small business clients. open new business checking accounts. originate small business loans e.g. sba loans lines of credit . sell treasury/cash management services to small businesses. bachelor s in business/finance. b2b sales skills and a strong understanding of business financial statements.,"Banking, Finance & Audit",Retail Banking,Small Business Banker,a specialized banker often located within a branch who focuses exclusively on the needs of small business clients.,open new business checking accounts. originate small business loans e.g. sba loans lines of credit . sell treasury/cash management services to small businesses.,bachelor s in business/finance. b2b sales skills and a strong understanding of business financial statements.,5,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0006,mortgage loan officer mlo guides clients through the mortgage application process from pre-approval to closing helping them secure financing for a home purchase. advise clients on various mortgage products. collect and verify all required financial documents. manage a pipeline of loan applications. liaise with underwriters and processors. bachelor s degree. must hold an nmls license. strong sales organization and communication skills.,"Banking, Finance & Audit",Retail Banking,Mortgage Loan Officer (MLO),guides clients through the mortgage application process from pre-approval to closing helping them secure financing for a home purchase.,advise clients on various mortgage products. collect and verify all required financial documents. manage a pipeline of loan applications. liaise with underwriters and processors.,bachelor s degree. must hold an nmls license. strong sales organization and communication skills.,6,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0007,assistant branch manager supports the branch manager in all operational and sales functions acting as the manager-on-duty in their absence. supervise the teller line and personal banking team. handle complex operational duties and audit procedures. coach staff to meet sales goals. resolve escalated customer complaints. 3-5+ years of banking experience. proven leadership sales coaching and operational skills.,"Banking, Finance & Audit",Retail Banking,Assistant Branch Manager,supports the branch manager in all operational and sales functions acting as the manager-on-duty in their absence.,supervise the teller line and personal banking team. handle complex operational duties and audit procedures. coach staff to meet sales goals. resolve escalated customer complaints.,3-5+ years of banking experience. proven leadership sales coaching and operational skills.,7,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0008,branch manager leads a single bank branch accountable for its overall profitability operational integrity sales performance and team development. manage all branch staff hiring training scheduling . develop and execute sales strategies to meet branch goals. ensure compliance with all banking regulations and security protocols. represent the bank in the local community. bachelor s degree. 5+ years of banking management. strong leadership sales management and financial acumen.,"Banking, Finance & Audit",Retail Banking,Branch Manager,leads a single bank branch accountable for its overall profitability operational integrity sales performance and team development.,manage all branch staff hiring training scheduling . develop and execute sales strategies to meet branch goals. ensure compliance with all banking regulations and security protocols. represent the bank in the local community.,bachelor s degree. 5+ years of banking management. strong leadership sales management and financial acumen.,8,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0009,regional manager a senior leader responsible for the performance and operations of an entire geographic region managing multiple branch managers. manage the p l for a defined region. set regional sales and performance targets. coach and develop a team of branch managers. ensure operational consistency and compliance across all branches. bachelor s/mba. 7-10+ years of senior retail bank management experience.,"Banking, Finance & Audit",Retail Banking,Regional Manager,a senior leader responsible for the performance and operations of an entire geographic region managing multiple branch managers.,manage the p l for a defined region. set regional sales and performance targets. coach and develop a team of branch managers. ensure operational consistency and compliance across all branches.,bachelor s/mba. 7-10+ years of senior retail bank management experience.,9,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0010,client service associate the primary administrative support role for a team of financial advisors handling all client service and operational tasks. handle client requests e.g. money movement paperwork . open new investment accounts and prepare client review materials. assist financial advisors with scheduling and administration. bachelor s degree. exceptional organization and client service skills. often requires series 7/66 licenses .,"Banking, Finance & Audit",Wealth Management,Client Service Associate,the primary administrative support role for a team of financial advisors handling all client service and operational tasks.,handle client requests e.g. money movement paperwork . open new investment accounts and prepare client review materials. assist financial advisors with scheduling and administration.,bachelor s degree. exceptional organization and client service skills. often requires series 7/66 licenses .,10,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0011,financial advisor associate a junior often salaried or trainee-level advisor who supports a senior advisory team by conducting research and assisting with financial plans. assist in building financial models and plans for clients. conduct investment research and portfolio analysis. sit in on client meetings and handle follow-up tasks. bachelor s in finance. must pass sie series 7 and series 66. strong analytical and excel skills.,"Banking, Finance & Audit",Wealth Management,Financial Advisor (Associate),a junior often salaried or trainee-level advisor who supports a senior advisory team by conducting research and assisting with financial plans.,assist in building financial models and plans for clients. conduct investment research and portfolio analysis. sit in on client meetings and handle follow-up tasks.,bachelor s in finance. must pass sie series 7 and series 66. strong analytical and excel skills.,11,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0012,financial advisor wealth manager a licensed professional who builds a book of clients providing holistic financial planning and investment management services. prospect for and acquire new high-net-worth hnw clients. create comprehensive financial plans retirement estate insurance . build and manage client investment portfolios. bachelor s/mba. cfp certification highly preferred. strong sales networking and portfolio management skills.,"Banking, Finance & Audit",Wealth Management,Financial Advisor (Wealth Manager),a licensed professional who builds a book of clients providing holistic financial planning and investment management services.,prospect for and acquire new high-net-worth hnw clients. create comprehensive financial plans retirement estate insurance . build and manage client investment portfolios.,bachelor s/mba. cfp certification highly preferred. strong sales networking and portfolio management skills.,12,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0013,private banker services the needs of ultra-high-net-worth uhnw clients providing complex credit solutions e.g. asset-backed loans in addition to investments. act as the single point of contact for uhnw clients. provide customized credit and lending solutions. coordinate with trust investment and estate planning specialists. bachelor s/mba. series 7/66. expertise in complex credit products and hnw client management.,"Banking, Finance & Audit",Wealth Management,Private Banker,services the needs of ultra-high-net-worth uhnw clients providing complex credit solutions e.g. asset-backed loans in addition to investments.,act as the single point of contact for uhnw clients. provide customized credit and lending solutions. coordinate with trust investment and estate planning specialists.,bachelor s/mba. series 7/66. expertise in complex credit products and hnw client management.,13,https://www.kaggle.com/datasets/shivamashokgupta/job-description
